doc_id,locale,summary_len,body0_len
wp-page-86832,en,240,23
wp-page-86832,es,239,35
wp-page-86832,ja,240,14
wp-page-86841,en,240,23
wp-page-86841,es,239,36
wp-page-86841,ja,240,16
wp-page-86858,en,240,26
wp-page-86858,es,239,37
wp-page-86858,ja,240,16
wp-page-86865,en,240,55
wp-page-86865,es,240,74
wp-page-86865,ja,240,17
wp-page-86911,en,240,33
wp-page-86911,es,240,45
wp-page-86911,ja,240,21
wp-page-86936,en,240,24
wp-page-86936,es,239,37
wp-page-86936,ja,240,15
wp-page-87001,en,239,28
wp-page-87001,es,240,41
wp-page-87001,ja,240,18
wp-page-87064,en,239,23
wp-page-87064,es,240,40
wp-page-87064,ja,240,16
wp-page-87070,en,240,28
wp-page-87070,es,239,45
wp-page-87070,ja,240,19
wp-page-87387,en,240,27
wp-page-87387,es,239,48
wp-page-87387,ja,240,20
wp-page-87408,en,240,27
wp-page-87408,es,240,49
wp-page-87408,ja,240,14
wp-page-87495,en,240,45
wp-page-87495,es,240,82
wp-page-87495,ja,240,29
wp-page-87635,en,240,41
wp-page-87635,es,240,49
wp-page-87635,ja,240,22
wp-page-87636,en,240,51
wp-page-87636,es,240,63
wp-page-87636,ja,240,38
wp-page-87739,en,240,27
wp-page-87739,es,240,52
wp-page-87739,ja,240,12
wp-page-87759,en,240,46
wp-page-87759,es,239,89
wp-page-87759,ja,240,34
wp-page-87767,en,240,56
wp-page-87767,es,240,84
wp-page-87767,ja,240,29
wp-page-87837,en,239,52
wp-page-87837,es,239,60
wp-page-87837,ja,240,32
wp-page-88171,es,240,75
wp-page-88171,ja,240,30
wp-page-88559,en,240,35
wp-page-88559,es,240,68
wp-page-88559,ja,240,22
wp-page-88566,en,240,65
wp-page-88566,es,240,65
wp-page-88566,ja,240,26
wp-page-89437,en,240,65
wp-page-89437,es,240,58
wp-page-89437,ja,240,26
wp-page-96618,en,239,65
wp-page-96618,es,240,70
wp-page-96618,ja,240,20
