category,type,doc,base_id,doc_status,alt_en,alt_es,alt_ja,cap_en,cap_es,cap_ja
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Rosetta",wp-page-60422,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things To Do In Rosetta",wp-page-60423,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Best Rosetta Tours",wp-page-60424,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Taste of Rosetta",wp-page-60425,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Only In Rosetta",wp-page-60426,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Safaga History",wp-page-60436,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Safaga Weather and Best Time to Visit",wp-page-60438,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting to Safaga",wp-page-60439,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Where to Stay in Safaga",wp-page-60440,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Safaga",wp-page-60441,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things to Do in Safaga",wp-page-60442,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Food in Safaga",wp-page-60444,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Only in Safaga: Black Sand and a Healing Coast",wp-page-60445,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Saint Catherine Weather and Best Time to Visit",wp-page-60457,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"How to Get to Saint Catherine",wp-page-60458,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Where to Stay in Saint Catherine",wp-page-60459,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Saint Catherine",wp-page-60460,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things to Do in Saint Catherine",wp-page-60461,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Food in Saint Catherine",wp-page-60463,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Only in Saint Catherine",wp-page-60464,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Sharm El Sheikh History",wp-page-60481,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Sharm El Sheikh Weather and Best Time to Visit",wp-page-60483,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"How to Get to Sharm El Sheikh",wp-page-60484,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Where to Stay in Sharm El Sheikh",wp-page-60485,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Sharm El Sheikh",wp-page-60486,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Things to Do in Sharm El Sheikh",wp-page-60487,published+draft,-,-,-,-,-,-
